Beta,Average Energy,Average Magnetisation
0.1,-2018.14,0.010478
0.2,-4248.12,0.01305
0.3,-6965.22,0.022926
0.4,-10246.5,0.034988
0.5,-12862.6,0.043896
0.6,-14369.8,0.046332
0.7,-15172.3,0.055044
0.8,-15598.3,0.058512
0.9,-15817.4,0.062506
1,-15963.4,0.060986
1.1,-16037.8,0.06191
1.2,-16116.8,0.056412
1.3,-16134.5,0.059066
1.4,-16209.7,0.05619
1.5,-16204.1,0.058902
