Beta,Average Energy,Average Magnetisation
0.1,-9.08,10.38
0.2,-19.44,8.3
0.3,-27.56,10.82
0.4,-38.48,13.9
0.5,-46.56,13.98
0.6,-53.24,14.62
0.7,-61.04,16.5
0.8,-65.72,15.14
0.9,-70.56,19.6
1,-76.32,21.72
1.1,-81.44,23.9
1.2,-83.24,28.08
1.3,-86.12,29.54
1.4,-87.76,35.36
1.5,-90.56,34.66
